t,z,theta,dz,dtheta,ddz,ddtheta,x_64,y_64
10.45850000000129,0.6118057775462522,0.6235211005269425,0.1754376859264735,-1.8328440215487045,-3.397415536729916,-8.31135121294201,54.862831488116555,32.212430419926335
10.47500000000131,0.6142320734841997,0.5921213668181313,0.1208837720582374,-1.9685978873194279,-3.18753605605238,-8.139006185743627,53.94027137626374,31.381483292890486
10.492000000001331,0.6158279941537158,0.557453235171564,0.06935377812138167,-2.105456232891166,-2.844610386421053,-7.953047705184208,52.85052561020659,30.553931611077502
10.508500000001352,0.6165921994368215,0.521606940221777,0.025800495979811794,-2.2350413736844996,-2.405470824922517,-7.740509658369245,51.66284029562598,29.785758470878477
10.525000000001372,0.6167034144027722,0.48365455672827135,-0.009806581850009691,-2.3607061899821327,-1.8827556938327987,-7.472188467163251,50.35379055184352,29.05802244503799
10.542000000001392,0.6162849109663948,0.4424272112251046,-0.036934830415375555,-2.484904735910395,-1.283337447344742,-7.112872316453773,48.88657067632055,28.355455150674096
10.558500000001413,0.615523054699558,0.40044788557288535,-0.05323618641668868,-2.5988145505060465,-0.6717277057597215,-6.662532611576987,47.35679137580456,27.723080744502077
10.575000000001433,0.614578280950439,0.35665732680721307,-0.05941690916886789,-2.7043819464374526,-0.06191560952630937,-6.096006889948242,45.732879473600484,27.142250536481676
10.592000000001454,0.6135881354570416,0.3098088240086265,-0.055503992705911075,-2.8023088609471354,0.5308557282509412,-5.381326003664823,43.9723932563802,26.599913395733324
10.608500000001474,0.612770745746719,0.2628518204651314,-0.04256287612432322,-2.884701831141076,1.039740089831902,-4.560512112468772,42.19005291843765,26.1296736794053
10.625500000001495,0.612223670439607,0.2131786224222302,-0.021216966612032033,-2.9544230979699195,1.4649593343995875,-3.5948402088906852,40.28970960118745,25.704641060720853
10.642000000001515,0.6120937353040301,0.1639723473865236,0.0054660744143936735,-3.00558909011338,1.7565556124946937,-2.5625366317847345,38.39470676644613,25.351456331685945
10.658500000001535,0.6124388916675345,0.11406986015785861,0.03587867809628902,-3.039170179994424,1.9104043857351272,-1.4671134070220642,36.461402445857125,25.05864298278089
10.675500000001556,0.6133350837154792,0.06224125604202025,0.06860865116956182,-3.0545860109080314,1.9135146055556334,-0.3114945128327221,34.44160657687429,24.822563511878144
10.692000000001576,0.614730381457619,0.011847460218703889,0.09918495488439555,-3.050822462131691,1.7632796593361633,0.795422717698693,32.46610069532384,24.660016673731384
10.708500000001596,0.6166024436554874,-0.03833100199380959,0.1261106246433061,-3.0291728588685563,1.468375987678499,1.8487711655928425,30.4877310564889,24.566430547206735
10.725500000001617,0.6189451227954605,-0.08950281467172834,0.14762486822727808,-2.9893909906307155,1.02849614082254,2.842687741159537,28.45930253822919,24.54606919638475
10.742000000001637,0.6215019320144999,-0.1383891533689822,0.1604310063088146,-2.9355165747700873,0.49162181660443594,3.6929316366455005,26.51296933338991,24.60415622177272
10.758500000001657,0.6241907479169323,-0.18627300406453504,0.16369135664146187,-2.868623476961784,-0.12612402745564566,4.415199760321694,24.601685142765177,24.742844613586875
10.775500000001678,0.626922051723486,-0.23435202132988212,0.15591826352981,-2.788372440070733,-0.8144703825452453,5.0205980544264515,22.682924478151207,24.973750624395414
